Artist,Track,Playcount,Album,Duration,Listeners,Tags,Artist URL,Track URL
Karthik,Meghaallo,1380,Unknown,237000,253,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/meghaallo
Karthik,"Oru Maalai - Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin",801,Unknown,0,243,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oru%2bmaalai%2b-%2blanguage%253a%2btamil%253b%2bfilm%253a%2bghajini%253b%2bfilm%2bartists%253a%2bsurya%252c%2basin
Karthik,Poi Varavaa,1367,Unknown,350000,240,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/poi%2bvaravaa
Karthik,Anasuya Kosam,1299,A Aa,204000,234,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/anasuya%2bkosam
Karthik,Brochevaarevarura,632,Music I Like,435000,233,"['old', 'Brochevaarevarura']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/brochevaarevarura
Karthik,"Yedo Yedo (From ""Ennakku 20 Unakku 18"")",675,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,346000,232,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yedo%2byedo%2b%2528from%2b%2522ennakku%2b20%2bunakku%2b18%2522%2529
Karthik,Dil Se,1450,Unknown,261000,225,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/dil%2bse
Karthik,Adire Hrudayam,1195,RX 100 (Original Motion Picture Soundtrack),287000,224,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/adire%2bhrudayam
Karthik,Pachchai Thee,1085,Athe Nila - Tamil Love Hits,257000,220,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/pachchai%2bthee
Karthik,Neelathamare,666,Neelathamara,276000,216,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/neelathamare
Karthik,Kaatrai Konjam,937,Neethaane En Ponvasantham,334000,211,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kaatrai%2bkonjam
Karthik,Yennodu Vaa Vaa,917,Unknown,259000,211,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yennodu%2bvaa%2bvaa
Karthik,Vaana Chinukulu,946,Seethamma Vakitlo Sirimalle Chettu,223000,210,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/vaana%2bchinukulu
Karthik,Edhuta Nilichindhi,1320,Vaana (Original Motion Picture Soundtrack),287000,209,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/edhuta%2bnilichindhi
Karthik,Ninna Danigaagi,964,Unknown,253000,208,"['Indian', 'india', 'kannada', 'karnataka']",https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ninna%2bdanigaagi
Karthik,Em Cheppanu,1005,Nenu Sailaja,286000,206,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/em%2bcheppanu
Karthik,Perilla Raajyathe,1143,Unknown,0,203,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/perilla%2braajyathe
Karthik,Beautiful Girl,1501,Life Is Beautiful,283000,200,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/beautiful%2bgirl
Karthik,Maro Maro,712,Unknown,0,200,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/maro%2bmaro
Karthik,Aakasa Ganga,949,Vaana Vaana-Monsoon Hitz,306000,199,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aakasa%2bganga
Karthik,Arey Arey,926,Happy Days,297000,195,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/arey%2barey
Karthik,Nijamena,1028,Unknown,0,194,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nijamena
Karthik,Aahatein (Unplugged),656,Ek Main Aur Ekk Tu (Original Motion Picture Soundtrack),254000,194,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aahatein%2b%2528unplugged%2529
Karthik,VEESUM VELICHATHILE,934,Unknown,188000,193,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/veesum%2bvelichathile
Karthik,Nuvvani Idhi Needani,1405,Unknown,261000,181,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/nuvvani%2bidhi%2bneedani
Karthik,Tara,1069,Shyam Singha Roy (Original Motion Picture Soundtrack),171000,181,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/tara
Karthik,"Aval Parandhu Ponaaley - From ""Navarasa""",702,Unknown,0,180,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aval%2bparandhu%2bponaaley%2b-%2bfrom%2b%2522navarasa%2522
Karthik,Enthanee Mounam,665,Unknown,182000,180,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/enthanee%2bmounam
Karthik,Yaaradu,1061,Unknown,0,177,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yaaradu
Karthik,New New,749,New (Original Motion Picture Soundtrack),272000,177,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/new%2bnew
Karthik,Koova,833,Unknown,220000,174,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/koova
Karthik,Oh Oh Oh My Friend,875,Oh My Friend,257000,173,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oh%2boh%2boh%2bmy%2bfriend
